Date,Description,Amount (EUR),Balance (EUR),Type
2026-06-01,WERKRAUM KOLLEKTIV FLEX DESK,-240.00,12168.33,DEBIT
2026-06-02,NIMBUS CLOUD HOSTING,-45.00,12123.33,CARD
2026-06-02,CAFE DEL SOL MADRID,-8.33,12115.00,CARD
2026-06-03,FONTRACK PRO SUBSCRIPTION,-18.00,12097.00,CARD
2026-06-03,BUEROBEDARF KERN BERLIN,-11.61,12085.39,CARD
2026-06-03,SUPERMERCADO LISTO BERLIN,-33.52,12051.87,CARD
2026-06-04,BREW AND BEAN BERLIN,-13.62,12038.25,CARD
2026-06-05,SUPERMERCADO LISTO BERLIN,-24.37,12013.88,CARD
2026-06-08,BREW AND BEAN BERLIN,-5.51,12008.37,CARD
2026-06-12,K-KULMA KIOSKI HELSINKI,-8.88,11999.49,CARD
2026-06-14,BREW AND BEAN BERLIN,-3.88,11995.61,CARD
2026-06-14,BAECKEREI SONNENSCHEIN,-4.19,11991.42,CARD
2026-06-14,SUPERMERCADO LISTO BERLIN,-31.32,11960.10,CARD
2026-06-15,NORTHLIGHT AGENCY INV-2026-06,4800.00,16760.10,CREDIT
2026-06-17,BUEROBEDARF KERN BERLIN,-21.61,16738.49,CARD
2026-06-18,BREW AND BEAN BERLIN,-4.71,16733.78,CARD
2026-06-18,RAILLINK DE,-95.47,16638.31,CARD
2026-06-19,BAECKEREI SONNENSCHEIN,-4.60,16633.71,CARD
2026-06-20,KAFFEBAREN SODER STOCKHOLM,-5.46,16628.25,CARD
2026-06-21,BREW AND BEAN BERLIN,-5.08,16623.17,CARD
2026-06-21,RAILLINK DE,-149.74,16473.43,CARD
2026-06-22,HALLO MOBILFUNK GMBH,-29.99,16443.44,CARD
2026-06-24,BREW AND BEAN BERLIN,-7.55,16435.89,CARD
2026-06-25,SUPERMERCADO LISTO BERLIN,-31.11,16404.78,CARD
2026-06-26,SUPERMERCADO LISTO BERLIN,-21.28,16383.50,CARD
2026-06-27,STADTWERKE BERLIN ABSCHLAG,-86.00,16297.50,CARD
2026-06-28,BAECKEREI SONNENSCHEIN,-2.65,16294.85,CARD
