Datum,Buchungstext,Betrag (EUR),Saldo (EUR),Art
2025-01-31,MITGLIEDSBEITRAEGE SAMMELGUTSCHRIFT,4140.00,5982.15,CREDIT
2025-02-14,VEREINSHAFTPFLICHT JAHRESPRAEMIE,-286.00,5696.15,DEBIT
2025-02-28,MITGLIEDSBEITRAEGE NACHZUEGLER,360.00,6056.15,CREDIT
2025-03-20,DAV SEKTIONSABGABE,-412.50,5643.65,DEBIT
2025-03-31,KLETTERZENTRUM OSTKREUZ Q1,-540.00,5103.65,DEBIT
2025-05-10,WETTKAMPF MELDEGEBUEHREN,-168.00,4935.65,CARD
2025-06-14,VERTIKAL SPORT BERLIN,-624.90,4310.75,CARD
2025-06-30,KLETTERZENTRUM OSTKREUZ Q2,-540.00,3770.75,DEBIT
2025-09-12,ZUSCHUSS BEZIRKSAMT JUGENDARBEIT,500.00,4270.75,CREDIT
2025-09-27,REISEBUS NEUMANN JUGENDFAHRT,-480.00,3790.75,DEBIT
2025-09-30,KLETTERZENTRUM OSTKREUZ Q3,-540.00,3250.75,DEBIT
2025-11-08,MITGLIEDERVERSAMMLUNG RAUMMIETE,-120.00,3130.75,CARD
2025-12-05,GASTHAUS ALTE WAND WEIHNACHTSFEIER,-214.60,2916.15,CARD
2025-12-31,KLETTERZENTRUM OSTKREUZ Q4,-540.00,2376.15,DEBIT
